住所,人数,緯度,経度
宝永上町,50,36.067629,136.2214592
日ノ出下町,31,36.0620347,136.2253375
佐佳枝上町,28,36.061194,136.217915
手寄中町,27,36.0589379,136.2253234
江戸下町,27,36.0693518,136.2186465
江戸上町,26,36.069337,136.22459
三の丸町,25,36.0657293,136.2251719
宝永下町,22,36.0664869,136.227908
日ノ出中町,20,36.063142,136.229907
神明神社内,19,36.0682638,136.2197578
錦上町,18,36.0657811,136.2150578
西別院前,17,36.0729865,136.2214847
松ケ枝中町,16,36.06985,136.228033
手寄下町,14,36.0580190,136.2285015
館町,11,36.0607715,136.2087301
手寄上町,11,36.0601183,136.2264313
豊島下町,10,36.0582433,136.2245918
老松下町,10,36.071796,136.226175
吉野中町,9,36.056882,136.227111
東上町,9,36.069998,136.221667
豊島中町,9,36.0570641,136.2226836
乾新町,8,36.072448,136.210019
宝永中町,8,36.0683244,136.2255508
湊下町,8,36.067175,136.206078
花月上町,7,36.0674999,136.2111864
尾上中町,7,36.072271,136.222296
佐佳枝下町,6,36.0654678,136.2169416
二の丸町,6,36.0667797,136.2233599
尾上下町,6,36.0710099,136.2213956
老松上町,6,36.071495,136.224117
老松中町,6,36.0706052,136.2245910
若松町,5,36.0625324,136.2079263
松ケ枝下町,5,36.07004,136.229582
西別院内,5,36.0729865,136.2214847
花月中町,4,36.0666107,136.2109458
吉野上町,4,36.055562,136.225738
足羽下町,4,36.0608804,136.2110715
豊島上町,4,36.0591066,136.220429
湊中町,4,36.06736,136.208042
毛矢町,4,36.0576951,136.21
浪花下町,4,36.0711297,136.2210684
錦中町,3,36.0659851,136.2143382
佐久良上町,3,36.0643560,136.2146894
松ケ枝上町,3,36.0707254,136.2267007
東下町,3,36.070201,136.2180403
花月新町,2,36.070017,136.208709
乾中町,2,36.069066,136.21289
岩堀町,2,36.0557117,136.2126222
九十九橋下河原,2,36.0630942,136.2115409
佐久良下町,2,36.0627632,136.2132592
三の丸,2,36.0656478,136.2251197
寿町,2,36.0534504,136.2128811
照手上町,2,36.0647871,136.2102529
神明神社境内,2,36.0682638,136.2197578
清川上町,2,36.0711330,136.2320548
清川中町,2,36.0699261,136.2311846
西別院前入口,2,36.0729865,136.2214847
大和上町,2,36.0683754,136.2144129
日ノ出町,2,36.0619021,136.2284401
簸川中町,2,36.0736539,136.2277178
尾上上町,2,36.0722944,136.2191867
堀田町,2,36.0497126,136.2140730
緑町,2,36.0596597,136.2095331
葵町,1,36.0492470,136.2150733
旭橋付近,1,36.0576672,136.226415
栄町,1,36.0615402,136.2081974
乾上町,1,36.0673027,136.2129174
吉野下町,1,36.0570495,136.2292685
玉井町,1,36.0593415,136.2074281
錦下町,1,36.0652414,136.2137462
九十九河原,1,36.0630942,136.2115409
月見町,1,36.0461637,136.2152256
県庁前,1,36.0650235,136.2217885
港新町,1,36.071054,136.205024
佐佳枝中町,1,36.0631644,136.2162441
浪花中町,1,36.0716031,136.2165296
春山下町,1,36.0689605,136.2154827
春山上町,1,36.0704451,136.2140929
照手下町,1,36.065614,136.208652
常盤木町,1,36.0572256,136.2129155
清川下町,1,36.0681476,136.2301611
西別院前の川中,1,36.0729865,136.2214847
西別院付近,1,36.0729865,136.2214847
西方町,1,36.051341,136.236398
西方田ノ中,1,36.051341,136.236398
千歳町,1,36.0602920,136.2067328
相生町,1,36.0584622,136.2126872
足羽上町,1,36.0595026,136.2120975
大和中町,1,36.0673711,136.2157775
藤島神社境内,1,36.056136,136.2111795
日ノ出上町,1,36.0658793,136.2303356
簸川下町,1,36.0755578,136.2271547
不動町,1,36.0549398,136.2109873
福井駅前,1,36.0625528,136.2224627
福井駅中,1,36.0714078,136.2335554
福井県庁舎内,1,36.0650235,136.2217885
福井県庁裏門,1,36.0650235,136.2217885
福井郵便局,1,36.0640258,136.2117720
豊町,2,36.0513040,136.2148750
湊上町,1,36.065611,136.206311
木田橋,1,36.0552534,136.220308
浪花上町,1,36.0724854,136.214219
